,title,date,link,year,month,country
95,USA – Lone protester interrupts Holocaust remembrance event in S.F.,2021-02-11,https://antisemitism.org.il/2024/01/29/usa-lone-protester-interrupts-holocaust-remembrance-event-in-s-f/,2021.0,2.0,USA
96,Netherlands – Utrecht University of Applied Sciences postpones Holocaust lectures for “safety reasons”,2021-02-11,https://antisemitism.org.il/2024/01/29/netherlands-utrecht-university-of-applied-sciences-postpones-holocaust-lectures-for-safety-reasons/,2021.0,2.0,Netherlands
97,"France – Yaël Braun-Pivet, President of the National Assembly, says she has already filed 23 complaints for antisemitism",2021-02-11,https://antisemitism.org.il/2024/01/29/france-yael-braun-pivet-president-of-the-national-assembly-says-she-has-already-filed-23-complaints-for-antisemitism/,2021.0,2.0,France
98,Italy – Antisemitic graffiti in Milan,2021-02-11,https://antisemitism.org.il/2024/01/29/italy-antisemitic-graffiti-in-milan-2/,2021.0,2.0,Italy
99,Germany – Antisemitic graffiti was discovered in a Dortmund S-Bahn station,2021-02-11,https://antisemitism.org.il/2024/01/29/germany-antisemitic-graffiti-was-discovered-in-a-dortmund-s-bahn-station/,2021.0,2.0,Germany
100,Germany – Antisemitic attack on a Berlin bus,2020-05-18,https://antisemitism.org.il/2024/01/29/germany-antisemitic-attack-on-a-berlin-bus/,2020.0,5.0,Germany
101,USA – Cornell course instructor cancels class in solidarity with anti-Israel activists,2020-05-18,https://antisemitism.org.il/2024/01/29/usa-cornell-course-instructor-cancels-class-in-solidarity-with-anti-israel-activists/,2020.0,5.0,USA
102,USA – NYC elementary teachers draw from anti-Israel propaganda to twist ‘Wheels on the Bus’ to celebrate the eradication of Jewish state,2020-05-18,https://antisemitism.org.il/2024/01/29/usa-nyc-elementary-teachers-draw-from-anti-israel-propaganda-to-twist-wheels-on-the-bus-to-celebrate-the-eradication-of-jewish-state/,2020.0,5.0,USA
103,USA – Antisemitic remark at Jersey City council event to commemorate the Holocaust,2020-05-18,https://antisemitism.org.il/2024/01/29/usa-antisemitic-remark-at-jersey-city-council-event-to-commemorate-the-holocaust/,2020.0,5.0,USA
104,UK – Corbynista MP accuses Israel of genocide in Gaza on the eve of Holocaust Memorial Day,2020-05-18,https://antisemitism.org.il/2024/01/28/uk-corbynista-mp-accuses-israel-of-genocide-in-gaza-on-the-eve-of-holocaust-memorial-day/,2020.0,5.0,UK
105,Canada – Multiple windows of a New Brunswick synagogue were shattered,2020-05-18,https://antisemitism.org.il/2024/01/28/canada-multiple-windows-of-a-new-brunswick-synagogue-were-shattered/,2020.0,5.0,Canada
106,"Germany – On Holocaust Remembrance Day, several portraits of survivors were desecrated in Leipzig",2020-05-18,https://antisemitism.org.il/2024/01/28/germany-on-holocaust-remembrance-day-several-portraits-of-survivors-were-desecrated-in-leipzig/,2020.0,5.0,Germany
107,Serbia – Antisemitic graffiti against a teacher and anti-fascist in Novi Sad,2020-05-18,https://antisemitism.org.il/2024/01/28/serbia-antisemitic-graffiti-against-a-teacher-and-anti-fascist-in-novi-sad/,2020.0,5.0,Serbia
108,Italy – Antisemitic graffiti on the Simpsons mural at the Shoah Memorial,2020-05-18,https://antisemitism.org.il/2024/01/27/italy-antisemitic-graffiti-on-the-simpsons-mural-at-the-shoah-memorial/,2020.0,5.0,Italy
109,USA – UCF student arrested for allegedly threatening Jewish students amid fallout of Gaza war,2020-05-18,https://antisemitism.org.il/2024/01/27/usa-ucf-student-arrested-for-allegedly-threatening-jewish-students-amid-fallout-of-gaza-war/,2020.0,5.0,USA
110,UK – Swastika daubed at Chatham Memorial Synagogue,2020-05-18,https://antisemitism.org.il/2024/01/26/uk-swastika-daubed-at-chatham-memorial-synagogue/,2020.0,5.0,UK
111,USA – South Hill church vandalized with antisemitic language,2020-05-18,https://antisemitism.org.il/2024/01/26/usa-south-hill-church-vandalized-with-antisemitic-language/,2020.0,5.0,USA
112,USA – Pro-Palestinian protesters scream at two Jewish people in NYC,2020-05-18,https://antisemitism.org.il/2024/01/26/usa-pro-palestinian-protesters-scream-at-two-jewish-people-in-nyc/,2020.0,5.0,USA
113,"USA – Two stores at Scarsdale, NY, shopping mall hit with anti-Israel graffiti",2020-05-18,https://antisemitism.org.il/2024/01/26/usa-two-stores-at-scarsdale-ny-shopping-mall-hit-with-anti-israel-graffiti/,2020.0,5.0,USA
114,Italy – Graffiti against Israel appear on the walls of Cassano,2020-05-18,https://antisemitism.org.il/2024/01/25/italy-graffiti-against-israel-appear-on-the-walls-of-cassano/,2020.0,5.0,Italy
115,"USA – Vandals target Messianic synagogue in Springfield, Mo.",2020-05-18,https://antisemitism.org.il/2024/01/25/usa-vandals-target-messianic-synagogue-in-springfield-mo/,2020.0,5.0,USA
116,"Spain – TVE attributes the US-Israel alliance to the Jewish lobby, among others",2020-05-18,https://antisemitism.org.il/2024/01/25/spain-tve-attributes-the-us-israel-alliance-to-the-jewish-lobby-among-others/,2020.0,5.0,Spain
117,Spain – Aampaign against Israel on Las Palmas buses,2020-05-18,https://antisemitism.org.il/2024/01/25/spain-aampaign-against-israel-on-las-palmas-buses/,2020.0,5.0,Spain
118,Australia – Violent threats against Jewish lawyers,2020-05-18,https://antisemitism.org.il/2024/01/25/australia-violent-threats-against-jewish-lawyers/,2020.0,5.0,Australia
119,Ireland – Irish MP goes on antisemitic tirade; refers to “Houthi’s humanitarian intervention”,2020-05-18,https://antisemitism.org.il/2024/01/25/ireland-irish-mp-goes-on-antisemitic-tirade-refers-to-houthis-humanitarian-intervention/,2020.0,5.0,Ireland
120,Canada – Weird rhetoric from children’s author,2019-07-17,https://antisemitism.org.il/2024/01/25/canada-weird-rhetoric-from-childrens-author/,2019.0,7.0,Canada
121,USA – Jason Whitlock nods as Jason Whitlock claims Jews have created a ‘plantation’ for black people and 457 of them are ‘running the Biden administration’,2019-07-17,https://antisemitism.org.il/2024/01/25/usa-jason-whitlock-nods-as-jason-whitlock-claims-jews-have-created-a-plantation-for-black-people-and-457-of-them-are-running-the-biden-administration/,2019.0,7.0,USA
122,"USA – Protestors disrupt antisemitism bill in Indiana, critique lack of recognition for Islamophobia",2019-07-17,https://antisemitism.org.il/2024/01/25/usa-protestors-disrupt-antisemitism-bill-in-indiana-critique-lack-of-recognition-for-islamophobia/,2019.0,7.0,USA
